trip_id,booking_id,customer_id,customer_name,gender,age,city,route_id,route_name,origin_stop,destination_stop,bus_number,bus_type,driver_id,driver_name,trip_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,distance_km,fare_inr,discount_inr,payment_mode,booking_channel,seat_number,trip_status,cancellation_reason,rating,occupancy_pct,weather,is_peak_hour,subscription_type,device_type,gps_enabled,complaint_raised
Trp000768,Bk47984879,Cust01278,Shalini Verma,Female,21.0,Mumbai,Rtmu005,Lower Parel - Mulund,Lower Parel,Mulund,Mh23Cf4441,Ac Sleeper,Drv0080,Aarav Bhat,2024-09-21,2026-07-30 20:25:00,20:25,2026-07-30 20:58:00,20:58,10.9,153,0.0,Upi,Corporate Portal,D8,Completed,Nan,5.0,84.6,Haze,0,Corporate Plan,Ios,True,No
Trp002439,Bk14257322,Cust01290,Kalpana Chopra,Male,24.0,Hyderabad,Rthy038,Hitec City - Kondapur,Hitec City,Kondapur,Ts27Cf8651,Ac Seater,Drv0068,Sanjay Joshi,2024-08-08,2026-07-30 14:50:00,15:12,2026-07-30 15:29:00,15:51,14.1,127,0.0,Debit Card,Kiosk,D7,Delayed-Completed,Nan,4.0,28.3,Heavy Rain,False,Weekly Pass,Android,True,0
Trp000793,Bk67236768,Cust01285,Sai Naidu,Female,18.0,Pune,Rtpu012,Aundh - Magarpatta,Aundh,Magarpatta,Mh24Cf3646,Ac Seater,Drv0001,Lakshmi Patel,2024-03-19,2026-07-30 08:15:00,08:15,2026-07-30 09:42:00,09:42,27.6,234,19.0,Cash,Corporate Portal,D11,Completed,Nan,3.0,15.4,Cloudy,1,Single Ride,Android,Yes,No
Trp002802,Bk59659578,Cust00625,Priya Patel,Female,23.0,Mumbai,Rtmu010,Ghatkopar - Lower Parel,Ghatkopar,Lower Parel,Mh13Cf5853,Ac Sleeper,Drv0036,Siddharth Kumar,2024-12-29,2026-07-30 17:45:00,17:45,2026-07-30 18:57:00,Nan,28.6,310,0.0,Debit Card,Corporate Portal,D11,No-Show,Customer Request,4.0,68.1,Clear,No,Corporate Plan,Web,1,Yes
Trp001653,Bk19231279,Cust00276,Shalini Kulkarni,F,20.0,Bangalore,Rtba024,Hebbal - Electronic City,Hebbal,Electronic City,Ka22Cf6238,Ac Seater,Drv0045,Sunita Gupta,2024-05-15,2026-07-30 13:00:00,13:40,2026-07-30 13:35:00,14:15,17.8,202,0.0,Upi,Corporate Portal,A1,Delayed-Completed,Nan,4.0,23.7,Haze,No,Corporate Plan,Ios,True,0
Trp003149,Bk80329799,Cust01233,Ramesh Iyer,Male,35.0,Mumbai,Rtmu008,Thane West - Mulund,Thane West,Mulund,Mh31Cf4644,Ac Sleeper,Drv0047,Rohan Bansal,2024-11-11,2026-07-30 08:40:00,08:35,2026-07-30 09:42:00,09:37,23.5,292,56.0,Upi,Website,A2,Completed,Nan,5.0,42.5,Clear,True,Single Ride,Web,Y,No
Trp002453,Bk45540207,Cust00862,Sunita Joshi,Female,35.0,Delhi Ncr,Rtde055,Vasant Kunj - Connaught Place,Vasant Kunj,Connaught Place,Dl13Cf2245,Ac Sleeper,Drv0055,Aditya Mehta,01/03/2024,2026-07-30 09:20:00,09:25,2026-07-30 09:42:00,09:47,8.4,98,0.0,Cash,Mobile App,A6,Completed,Nan,2.0,67.7,Haze,1,Single Ride,Ios,True,0
Trp003148,Bk94474114,Cust00421,Krishna Joshi,F,40.0,Mumbai,Rtmu001,Ghatkopar - Vashi,Ghatkopar,Vashi,Mh49Cf4872,Ac Sleeper,Drv0034,Shalini Gupta,2024-03-26,2026-07-30 19:40:00,19:40,2026-07-30 21:21:00,21:21,32.5,471,0.0,Debit Card,Corporate Portal,C4,Completed,Nan,4.0,83.3,Haze,True,Single Ride,Ios,No,0
Trp000788,Bk34814909,Cust01204,Saanvi Gupta,Male,46.0,Bangalore,Rtba022,Hsr Layout - Bannerghatta Road,Hsr Layout,Bannerghatta Road,Ka22Cf6238,Ac Seater,Drv0062,Tanvi Reddy,2024-11-20,2026-07-30 20:50:00,20:50,2026-07-30 22:53:00,Nan,40.7,343,0.0,Upi,Website,C11,No-Show,Customer Request,4.0,23.4,Rain,1,Weekly Pass,Web,True,No
Trp001583,Bk20246842,Cust00520,Myra Pillai,Male,37.0,Delhi Ncr,Rtde051,Vasant Kunj - Saket,Vasant Kunj,Saket,Dl07Cf6794,Premium Ac,Drv0027,Aditya Naidu,2024-09-29,2026-07-30 12:15:00,12:15,2026-07-30 13:17:00,13:17,25.7,361,0.0,Cash,Corporate Portal,D15,Completed,Nan,4.0,88.6,Cloudy,0,Single Ride,Ios,True,No
Trp000430,Bk34676025,Cust00308,Divya Mehta,Female,23.0,Bangalore,Rtba030,Indiranagar - Yelahanka,Indiranagar,Yelahanka,Ka39Cf4450,Non-Ac Seater,Drv0052,Vikram Rao,2024-09-27,2026-07-30 18:50:00,18:50,2026-07-30 19:10:00,19:10,10.1,112,0.0,Cash,Corporate Portal,A3,Completed,Nan,4.0,87.3,Fog,1,Corporate Plan,Android,Yes,No
